empid,firstname,lastname,gender,email,dateofbirth,ageinyears,weightinkgs,yearofjoining,ssn,phoneno,city,zip,region,userid,password,stat
421955,Sonia,Cook,F,sonia.cook@gmail.com,7/3/1965,52.1,48,2012,211-84-2167,236-937-1339,Pearisburg,24134,South,sxcook,7J>!z#mo//lUn,Running
556491,Larry,Tran,M,larry.tran@gmail.com,1/12/1970,47.57,63,2007,145-23-5514,304-994-1002,Pliny,25158,South,lctran,0I5kv<\++8%Hx,Stop
701223,Esmeralda,Grant,F,esmeralda.grant@yahoo.com,12/19/1990,26.62,48,2013,536-71-6439,262-728-1705,Shullsburg,53586,Midwest,epgrant,Nb*yf@Z8TSE:d,Running
122005,Candy,Singleton,F,candy.singleton@hotmail.com,6/29/1981,36.1,47,2017,334-11-6997,205-585-4936,Wetumpka,36093,South,cksingleton,t?>x1}yh]Dn,Running
461385,Emma,Obrien,F,emma.obrien@gmail.com,9/15/1966,50.9,56,2012,425-99-7082,262-707-3676,Briggsville,53920,Midwest,eeobrien,b;cNIBaYfK6_E+x,Stop
249180,Scot,Beach,M,scot.beach@sbcglobal.net,7/31/1980,37.02,84,2010,756-12-8398,319-334-1932,Pocahontas,50574,Midwest,smbeach,Ust_+g$Bh7;MX^X,Stop
634658,Rolland,Mendoza,M,rolland.mendoza@yahoo.com,8/5/1966,51.01,50,2015,180-86-0187,228-727-6767,Jackson,39216,South,rdmendoza,M!E1To>f^o7g,Stop
842752,Tommie,Sanchez,F,tommie.sanchez@gmail.com,6/6/1974,43.17,60,1997,148-23-0773,205-823-2834,Wedowee,36278,South,tbsanchez,5/+|EJZi~A,Stop
513773,Jessie,Cortez,M,jessie.cortez@exxonmobil.com,9/20/1981,35.88,88,2016,165-86-1499,239-810-9402,Clearwater,33763,South,jncortez,6RyPS|0VHF3l?,Stop
781472,Isiah,Guthrie,M,isiah.guthrie@bellsouth.net,8/19/1965,51.98,61,2009,100-02-2099,385-228-9893,Heber City,84032,West,itguthrie,Es+XaWTt\l8wT*,Stop
747200,Janelle,Gill,F,janelle.gill@gmail.com,5/27/1962,55.21,41,1999,390-33-9081,236-897-3910,Falls Church,22040,South,jqgill,U+g>QPO:,Running
932425,Christoper,Haynes,M,christoper.haynes@yahoo.com,9/1/1979,37.93,63,2014,488-29-1186,210-869-1768,Speaks,77985,South,cyhaynes,Q5|@?AG@K,Running
962851,Kathie,Kirby,F,kathie.kirby@sbcglobal.net,11/22/1986,30.7,42,2011,492-29-8466,505-502-1526,Santa Teresa,88008,West,kekirby,Y3V1uG9FW|N%?t,Stop
168829,Antonia,Kinney,F,antonia.kinney@gmail.com,2/9/1985,32.48,42,2006,125-98-4079,239-363-8520,Fort Lauderdale,33348,South,ahkinney,vH5D7!^s,Stop
603575,Ophelia,Wagner,F,ophelia.wagner@ibm.com,2/2/1972,45.52,49,2013,083-02-0316,480-956-7391,Scottsdale,85257,West,ovwagner,be!JK2b9tKsWX,Running
419075,Hallie,Cervantes,F,hallie.cervantes@aol.com,6/30/1979,38.1,53,2016,649-56-2968,270-272-6620,Se Ree,40164,South,hgcervantes,LJtUi?2<{vzf@JA,Stop
224473,Adriana,Mcfarland,F,adriana.mcfarland@outlook.com,8/29/1978,38.94,55,2000,256-99-0570,308-264-5555,Gordon,69343,Midwest,armcfarland,JNsoC!g[8Z?/_4,Running
552582,Jana,Weiss,F,jana.weiss@gmail.com,1/4/1968,49.6,43,2000,315-35-7587,229-852-3944,Athens,30606,South,jlweiss,refD\Hr5ftYq!,Stop
724235,Quentin,Benson,M,quentin.benson@gmail.com,3/21/1980,37.38,60,2013,131-98-3113,262-949-3970,Chippewa Falls,54774,Midwest,qjbenson,6%Dr8qoTTSa[z,Stop
908007,Debra,Pena,F,debra.pena@ibm.com,11/25/1990,26.69,44,2015,168-86-9131,215-707-4774,Kossuth,16331,Northeast,dspena,oWq%lNhYz,Running
871610,Kenton,Moreno,M,kenton.moreno@shell.com,1/19/1993,24.54,70,2016,647-21-4922,217-404-9496,Highland Park,60035,Midwest,kimoreno,odRmi%4dV,Stop
491595,Ian,Alvarado,M,ian.alvarado@aol.com,9/25/1965,51.87,67,1998,073-02-6652,205-934-4799,Huntsville,35806,South,ioalvarado,fPr1isi~1,Stop
821474,Jasper,Lucas,M,jasper.lucas@yahoo.co.in,9/18/1981,35.88,79,2003,344-11-3729,316-544-2902,Greeley,66033,Midwest,jflucas,KgDdL_.sxZXQp.5,Running
206783,Brock,Roberts,M,brock.roberts@yahoo.co.in,2/27/1968,49.45,77,1991,367-39-5971,304-276-6112,Gary,24836,South,bxroberts,L2_5S[Y:%,Stop
870463,Salvador,Deleon,M,salvador.deleon@hotmail.com,4/7/1969,48.34,63,1995,662-22-8169,217-253-3858,Riverdale,60827,Midwest,ssdeleon,7z#Drtviw,Running
809491,Terence,Giles,M,terence.giles@yahoo.com,9/15/1976,40.89,54,2010,175-86-1083,205-271-2216,Montevallo,35115,South,tugiles,QBt%Id?jAQ,Stop
924427,Dario,Townsend,M,dario.townsend@yahoo.com,5/10/1962,55.25,69,1994,222-11-0449,209-535-5945,Torrance,90501,West,dotownsend,P]OTQk>C,Stop
505780,Ester,Houston,F,ester.houston@ibm.com,3/12/1978,39.41,59,2007,551-99-8062,215-803-3018,Arendtsville,17303,Northeast,ezhouston,jJ>78dBwe_eos,Running
149904,Leanne,Mcmahon,F,leanne.mcmahon@shaw.ca,1/11/1964,53.58,49,1985,122-98-1489,207-567-1649,Brookton,4413,Northeast,lrmcmahon,INuWc}+~w,Stop
886315,Valentin,Montoya,M,valentin.montoya@aol.com,11/7/1965,51.76,81,1997,532-71-1470,423-851-9829,Kingston,37763,South,vsmontoya,P+SK3y[E,Stop
948512,Jared,Shepherd,M,jared.shepherd@ntlworld.com,3/26/1996,21.35,62,2017,480-41-8590,212-443-7359,Dewittville,14728,Northeast,jqshepherd,f7yymOJ?q,Running
780963,Jami,Cantrell,F,jami.cantrell@hotmail.com,3/30/1986,31.35,42,2007,288-15-3260,217-840-0373,Country Club Hills,60478,Midwest,jpcantrell,MATL%Z:zdzu&?,Stop
282037,Bruno,Whitney,M,bruno.whitney@sbcglobal.net,3/21/1976,41.38,60,2010,430-99-5587,205-929-8374,Killen,35645,South,bmwhitney,P-FGH9DV;0a%?r,Stop
505758,Garland,Watkins,M,garland.watkins@apple.com,1/14/1962,55.57,53,2008,181-86-4186,210-488-3772,Kopperl,76652,South,gqwatkins,qWFUv2Ic,Stop
487100,Augustus,Maldonado,M,augustus.maldonado@yahoo.com,5/25/1992,25.19,61,2016,001-11-5502,231-510-3900,Napoleon,49261,Midwest,aemaldonado,E1n8#jucD,Running
974444,Luther,Mcneil,M,luther.mcneil@aol.com,3/31/1992,25.34,75,2014,167-86-7703,217-960-5560,Winthrop Harbor,60096,Midwest,lfmcneil,oYyKbjCZ%Jpe2,Running
829416,Jimmy,Molina,M,jimmy.molina@gmail.com,5/8/1966,51.26,69,2005,044-15-5704,228-944-2045,Biloxi,39533,South,jcmolina,R.:A0|9+r,Running
146825,Morton,Franklin,M,morton.franklin@cox.net,8/22/1960,56.97,55,2008,314-35-6383,302-718-2676,Kenton,19955,South,mqfranklin,pLT:@n0f,Stop
603179,Andrew,Price,M,andrew.price@yahoo.co.uk,3/6/1987,30.42,79,2009,387-33-5564,216-707-4827,Ohio City,45874,Midwest,avprice,IlS@3q7KUKVTMwR,Stop
175035,Ava,Romero,F,ava.romero@aol.com,5/25/1972,45.21,40,2004,267-99-0811,205-665-8463,Fort Payne,35967,South,alromero,V19qO2Wu%%P,Running
358935,Anastasia,Bowen,F,anastasia.bowen@gmail.com,12/23/1992,24.61,40,2017,508-57-6611,240-646-3168,Garrett Park,20896,South,aybowen,6k~FYiSg-i_+I7r,Running
608832,Sabrina,Fowler,F,sabrina.fowler@outlook.com,1/3/1982,35.59,43,2006,482-41-0998,228-504-7673,Duncan,38740,South,sofowler,T-hp_>k]4,Running
509911,Kirsten,Lee,F,kirsten.lee@hotmail.com,10/16/1968,48.81,43,2014,678-22-5187,314-227-1897,Saint Louis,63164,Midwest,kylee,p}|ZV^pVuM.,Stop
354363,Tabatha,Arnold,F,tabatha.arnold@gmail.com,7/29/1976,41.02,45,2004,184-86-0283,239-581-1465,Bagdad,32530,South,twarnold,7w77BpxlX_,Running
344607,Gregg,Mann,M,gregg.mann@verizon.net,5/15/1959,58.24,54,1998,415-99-7608,339-989-4749,Dartmouth,2714,Northeast,gtmann,q!cdG$ottkNDqZ,Running
191963,Deanne,Mccarty,F,deanne.mccarty@charter.net,1/3/1974,43.59,52,2012,126-98-1744,319-336-2399,Clarinda,51632,Midwest,dhmccarty,NTnf^{I&&2,Stop
695631,Juanita,Zimmerman,F,juanita.zimmerman@hotmail.com,10/16/1974,42.81,50,2010,352-08-7814,907-789-9367,Seward,99664,West,jozimmerman,eN_os0cM^JLjQa!,Stop
547420,Doug,Small,M,doug.small@hotmail.com,12/8/1991,25.65,66,2014,526-99-7100,236-456-9446,Doe Hill,24433,South,dvsmall,Gn9lFj#7l,Running
403674,Billy,Mcdowell,M,billy.mcdowell@gmail.com,10/6/1983,33.83,57,2014,696-16-7530,270-556-2299,Rhodelia,40161,South,brmcdowell,nD}+Y%UurUP%:,Stop
988937,Boyd,Valencia,M,boyd.valencia@gmail.com,6/9/1987,30.16,62,2016,078-02-8120,209-925-2984,Mount Hamilton,95140,West,blvalencia,OAl%u%VVi9,Stop
937737,Roberto,Caldwell,M,roberto.caldwell@gmail.com,8/12/1994,22.98,79,2017,087-02-8919,217-438-3997,Peoria,61639,Midwest,rtcaldwell,R1H?:X&qBF,Running
144235,Kris,Conner,M,kris.conner@gmail.com,5/23/1962,55.22,86,1998,651-62-0527,203-368-9792,Ballouville,6233,Northeast,kuconner,l;N]lrhhDvub5r<,Running
866051,Leann,Ortiz,F,leann.ortiz@gmail.com,2/16/1990,27.46,59,2011,088-02-9740,215-754-3823,Neelyton,17239,Northeast,lrortiz,wohwj;LtI4,Stop
287787,Joaquin,Bentley,M,joaquin.bentley@gmail.com,8/24/1961,55.96,58,2012,287-15-0404,236-809-8062,Barren Springs,24313,South,jbbentley,of]v2ku#4],Running
316579,Leanne,Potter,F,leanne.potter@exxonmobil.com,1/25/1989,28.52,44,2015,268-17-1006,907-743-5043,Cordova,99574,West,lzpotter,CHrJU>n}2y>hH,Running
625981,Jay,Sanders,M,jay.sanders@gmail.com,1/5/1964,53.6,62,1987,168-86-3105,339-616-2386,Oxford,1540,Northeast,jrsanders,thsKqnmM,Stop
232661,Luz,Brown,F,luz.brown@msn.com,7/6/1961,56.1,45,1987,420-67-7134,803-614-9830,Charleston,29403,South,lgbrown,Gh!c\z]XW}Lg*N},Running
863522,Dudley,Preston,M,dudley.preston@gmail.com,11/16/1977,39.72,74,2014,607-87-4655,236-552-8765,Keokee,24265,South,dwpreston,Oh3YE+Se/F%<Hi,Running
118236,Monroe,Beach,M,monroe.beach@bp.com,10/18/1987,29.8,68,2015,198-84-8610,225-797-4264,Norwood,70761,South,mdbeach,g<xbWcc?IAj}1,Running
412201,Dina,Jones,F,dina.jones@aol.com,8/26/1990,26.94,51,2013,474-55-5660,218-825-9608,Monticello,55591,Midwest,dqjones,4:79ZhA}Z&Q,Stop
855988,Christian,Morrison,M,christian.morrison@yahoo.co.in,7/8/1959,58.1,65,2011,572-99-7139,212-393-3329,Sand Lake,12153,Northeast,cgmorrison,sa/GcpYwsAHQ;9Q,Stop
158689,Lucile,Fleming,F,lucile.fleming@hotmail.co.uk,12/13/1966,50.66,60,2006,769-02-7714,802-541-8727,Cabot,5647,Northeast,llfleming,n]Qv?0d7WJ3,Stop
737292,Luciano,Ray,M,luciano.ray@btinternet.com,10/19/1991,25.79,63,2014,407-73-3301,479-621-5916,Little Rock,72231,South,lhray,sn@6J/tm,Stop
596917,Ahmad,Poole,M,ahmad.poole@gmail.com,6/6/1973,44.17,79,2016,179-86-2300,219-947-6343,North Judson,46366,Midwest,abpoole,qYJAFnG5-b08:E,Running
620634,Janna,Hopkins,F,janna.hopkins@aol.com,11/21/1987,29.7,56,2011,246-99-6712,212-272-9825,Madison,13402,Northeast,jyhopkins,cZ{lHIvS/\h,Stop
130591,Kendrick,Miles,M,kendrick.miles@ibm.com,8/10/1962,55,52,1991,323-11-2203,603-789-4081,Nashua,3063,Northeast,kvmiles,hHB#Ptw@||T8,Stop
579618,Demetrius,Ruiz,M,demetrius.ruiz@gmail.com,12/14/1992,24.64,86,2015,348-08-8676,236-957-6759,Chantilly,22021,South,dzruiz,Nls|6;.Tg6Y,Stop
240295,Ken,Winters,M,ken.winters@rediffmail.com,2/14/1995,22.47,59,2016,448-27-5412,314-956-9973,Jefferson City,65111,Midwest,kpwinters,Y@NMOWx<f~p,Stop
846100,Earl,Gilbert,M,earl.gilbert@bp.com,1/14/1973,44.56,53,2013,724-28-7343,212-758-7329,Niagara Falls,14302,Northeast,eogilbert,t%+1_mS^t};Mo3,Stop
431841,Taylor,Barlow,F,taylor.barlow@aol.com,2/4/1965,52.51,58,1987,321-11-1526,405-534-3458,Sentinel,73664,South,tkbarlow,kEyVxO_^9.Eu_?,Stop
520702,Clarissa,Lawson,F,clarissa.lawson@hotmail.com,6/26/1993,24.1,49,2015,684-24-5365,319-776-6050,Melbourne,50162,Midwest,czlawson,E$:vE2\7:k_&,Stop
771425,Lewis,Fuller,M,lewis.fuller@comcast.net,11/1/1958,58.78,78,2006,414-99-0664,270-353-0382,Hope,40334,South,ltfuller,GhGh~6/W,Stop
189557,Claudine,Black,F,claudine.black@gmail.com,5/24/1978,39.21,45,2015,348-08-0053,215-283-6346,Farrandsville,17734,Northeast,cyblack,hx[362a:E,Stop
702034,Mitzi,Lynch,F,mitzi.lynch@aol.com,8/29/1960,56.95,55,2005,118-98-4867,212-439-7992,Jamesville,13078,Northeast,mylynch,Sqe~0L-@,Stop
586207,Michel,Finch,M,michel.finch@gmail.com,6/26/1986,31.11,72,2012,248-99-6030,239-671-5547,Mascotte,34753,South,mtfinch,8aYy2s!@VE:oP,Running
835545,Janie,Velasquez,F,janie.velasquez@gmail.com,4/19/1958,59.32,40,1983,237-99-2007,215-463-9949,Venango,16440,Northeast,jpvelasquez,HHl/Ul\S+^fv,Running
326407,Sophie,Bass,F,sophie.bass@hotmail.com,1/16/1990,27.55,50,2011,543-81-0393,231-403-9886,Mears,49436,Midwest,sfbass,mLTjnD*1mlED.i,Running
414967,Bette,Kane,F,bette.kane@gmail.com,12/30/1979,37.6,41,2004,468-57-2192,215-892-1317,Mc Elhattan,17748,Northeast,bykane,g-!WERjdtl9f_,Stop
410300,Dena,Blake,F,dena.blake@hotmail.com,5/26/1975,42.2,40,2011,610-87-0363,406-262-9506,Otter,59062,West,dqblake,q9r8b0Cr,Running
252371,Dante,Farmer,M,dante.farmer@aol.com,7/15/1985,32.06,61,2010,340-11-6672,701-937-3562,Hannah,58239,Midwest,dqfarmer,FbnPv]YL;,Stop
297502,Angelina,Lynn,F,angelina.lynn@rediffmail.com,3/14/1975,42.4,45,2007,537-71-3446,308-901-3456,Hazard,68844,Midwest,adlynn,rw-GvNt]UP*4q9!,Stop
725857,Shannon,Snow,F,shannon.snow@yahoo.com,11/3/1961,55.77,53,2014,502-37-9247,252-905-9562,Durham,27701,South,sdsnow,K1_g^yP.:,Stop
805103,Ron,Glenn,M,ron.glenn@gmail.com,7/6/1993,24.08,90,2014,760-12-0087,216-693-4688,Galion,44833,Midwest,rcglenn,S{%NuH:S,Running
641096,Kerry,Pitts,F,kerry.pitts@aol.com,5/4/1989,28.25,59,2017,639-29-0173,405-549-8600,Oklahoma City,73173,South,kcpitts,p3j?1]8L?Hy,Running
856369,Dominick,Robbins,M,dominick.robbins@hotmail.com,8/19/1979,37.97,58,2001,395-33-8825,262-482-5063,Spring Green,53588,Midwest,dmrobbins,8M2vav5{V!vT,Running
318571,Emory,Spence,M,emory.spence@yahoo.com,5/4/1967,50.27,68,2004,762-12-2563,603-917-1365,Milford,3055,Northeast,enspence,Dfi!i~&5!/,Running
219020,Lana,Spence,F,lana.spence@aol.com,7/15/1967,50.07,54,2009,087-02-3956,803-932-0349,Beaufort,29904,South,lgspence,M7$>a3-S,Running
934285,Jeremy,English,M,jeremy.english@gmail.com,9/11/1972,44.91,70,1996,564-99-1302,210-801-4949,Big Spring,79721,South,jgenglish,VMH?Aqy}DQMV&,Running
149763,Dudley,Melton,M,dudley.melton@aol.com,4/2/1991,26.34,62,2013,248-99-5679,201-678-5216,Essex Fells,7021,Northeast,dnmelton,Rf1&:vS^t,Stop
363951,Frances,Stafford,F,frances.stafford@ntlworld.com,9/7/1965,51.92,56,1987,099-02-4447,252-491-7854,Merritt,28556,South,fdstafford,Ed#+}Q;L,Running
306185,Percy,Hunt,M,percy.hunt@btinternet.com,12/13/1970,46.65,79,2004,025-92-2759,210-274-8246,Hasse,76456,South,pnhunt,Eiii*5Mt,Running
225090,Alfredo,Vasquez,M,alfredo.vasquez@bp.com,4/21/1973,44.3,88,2005,560-99-7135,803-918-4988,Clover,29710,South,ahvasquez,qC78DW-XH,Stop
287114,Joanna,Perkins,F,joanna.perkins@aol.com,8/10/1959,58.01,55,1992,284-15-7682,319-846-6922,Audubon,50025,Midwest,japerkins,d:2e;{+tP+[M|,Running
811489,Susanna,Huff,F,susanna.huff@hotmail.com,7/9/1970,47.08,42,2011,358-08-7991,215-713-2665,Springdale,15144,Northeast,srhuff,kW4BJc_$*,Running
162573,Ola,Thompson,F,ola.thompson@yahoo.com,8/28/1970,46.95,58,2003,147-23-4311,307-538-2638,Dayton,82836,West,otthompson,pUzFR!qYH9,Running
836699,Louella,Wolfe,F,louella.wolfe@charter.net,2/19/1966,51.47,47,2001,574-61-8029,480-650-3603,Phoenix,85083,West,lfwolfe,Ww}qVkl<;_~I,Running
798859,Deirdre,Travis,F,deirdre.travis@hotmail.com,4/11/1971,46.33,59,1998,026-92-8042,219-467-5690,Indianapolis,46206,Midwest,dntravis,9#<++W%mQY:4+Z,Stop
458765,Kristina,Ware,F,kristina.ware@gmail.com,6/26/1981,36.11,44,2006,183-86-2067,209-998-1930,Moorpark,93021,West,kwware,NSHvHwOA,Running
562109,Stacy,Dixon,M,stacy.dixon@aol.com,5/27/1963,54.21,60,1995,458-99-8461,217-469-0283,Peoria,61640,Midwest,sodixon,7aa?OcUZp_mz,Running
947334,Frankie,Clark,M,frankie.clark@apple.com,11/19/1960,56.73,56,2010,046-15-2622,319-773-8175,Red Oak,51566,Midwest,fyclark,c|QL%vW#26RQ?b,Stop
316995,Pauline,Gilbert,F,pauline.gilbert@yahoo.com,7/5/1996,21.08,52,2017,570-99-4500,316-849-9526,Niotaze,67355,Midwest,pjgilbert,y<f-cN!N,Stop
798671,Adolph,Skinner,M,adolph.skinner@gmail.com,9/20/1964,52.89,54,2008,384-37-6327,252-584-4280,Durham,27707,South,alskinner,cIPr@6xgZ,Running
415004,Rosa,Camacho,F,rosa.camacho@gmail.com,4/7/1995,22.32,43,2016,687-24-2091,262-735-0438,Appleton,54913,Midwest,rpcamacho,ak|>vLr+>,Running
770810,Craig,Marquez,M,craig.marquez@gmail.com,6/16/1982,35.14,88,2004,207-84-2832,231-786-8588,Sand Creek,49279,Midwest,cwmarquez,0m^pLvwDIt,Stop
255640,Stanley,Lowe,M,stanley.lowe@gmail.com,9/7/1986,30.91,75,2008,064-02-4325,304-323-8939,Jolo,24850,South,stlowe,Ez#mku9cx3wEYj:,Stop
311079,Morgan,Farrell,M,morgan.farrell@gmail.com,4/17/1989,28.3,50,2011,136-25-6207,206-732-0851,Hartline,99135,West,mcfarrell,I#VwgL-in$1w/#<,Running
559421,Reba,Potts,F,reba.potts@microsoft.com,4/2/1986,31.34,43,2011,237-99-4109,803-530-4861,Columbia,29216,South,ropotts,crDw\pS!_W-p,Stop
959306,Shana,Gould,F,shana.gould@gmail.com,7/20/1973,44.05,52,2000,271-17-8858,252-316-7224,Edward,27821,South,sogould,gW142CO&OX<;l|,Stop
713805,Adam,Bartlett,M,adam.bartlett@aol.com,9/25/1971,45.87,61,2005,500-29-9319,205-745-6937,Ohatchee,36271,South,aibartlett,1E$sBq}P$TFR,Stop
532285,Leann,Melendez,F,leann.melendez@gmail.com,11/4/1973,43.76,49,2007,008-94-7923,236-331-5273,Woodbridge,22193,South,lwmelendez,W_n+;yZuzfjJ,Running
664249,Floyd,Mills,M,floyd.mills@gmail.com,8/29/1983,33.94,54,2006,481-41-0460,308-874-7810,Farwell,68838,Midwest,fbmills,Aq?ch[mqCw;3QM,Running
339483,Scott,Carrillo,M,scott.carrillo@sbcglobal.net,1/15/1970,47.56,59,1991,458-99-4184,319-913-8966,Rockford,50468,Midwest,sqcarrillo,kWT78g_~uz{;,Running
155956,Sterling,Hooper,M,sterling.hooper@hotmail.com,9/19/1962,54.89,90,2003,167-86-0816,217-697-9027,Saint Anne,60964,Midwest,skhooper,F>eQ*HU>$,Stop
791119,Damon,Hunt,M,damon.hunt@gmail.com,11/28/1978,38.69,56,2010,462-99-3472,304-994-3681,Onego,26886,South,dthunt,Xk:*o|Z:zcF.~!,Running
798553,Mauricio,Potts,M,mauricio.potts@yahoo.com,8/31/1986,30.93,90,2015,213-91-9114,339-660-2629,Lawrence,1841,Northeast,mapotts,h$r[.aXNy,Stop
981925,Ebony,Eaton,F,ebony.eaton@gmail.com,7/24/1964,53.05,45,1999,511-33-0572,212-680-4445,Otego,13825,Northeast,ebeaton,r]XX+!/[hU/<Z,Running
648118,Bobbie,Joyner,F,bobbie.joyner@gmail.com,4/20/1971,46.3,48,2016,437-99-4679,385-473-3065,Park Valley,84329,West,bmjoyner,rkag+5v{,Stop
278391,Jami,Velasquez,F,jami.velasquez@hotmail.com,7/23/1992,25.03,42,2016,316-35-5631,218-557-1655,Max,56659,Midwest,jnvelasquez,G2x0w{8mOoa,Stop
556573,Aisha,Gentry,F,aisha.gentry@aol.com,10/31/1965,51.78,43,1991,180-86-5081,212-970-9881,Montezuma,13117,Northeast,azgentry,C$<gF\!_A-%Nca\,Running
159472,Moses,Reid,M,moses.reid@apple.com,12/22/1964,52.63,61,1999,424-65-3064,239-593-3202,Orlando,32834,South,mpreid,H9zUwL<nl@}e,Stop
871770,Monique,Deleon,F,monique.deleon@hotmail.com,4/9/1990,27.32,50,2015,513-31-6303,216-250-6145,Cardington,43315,Midwest,msdeleon,aNR#7*@D56,Running
338556,Domingo,Gibbs,M,domingo.gibbs@hotmail.com,11/7/1988,28.74,77,2013,546-99-2961,480-908-8095,Littlefield,86432,West,dsgibbs,lBHbc.ApgQ]d{T,Running
182719,Tammy,Vincent,F,tammy.vincent@aol.com,7/13/1960,57.08,44,2007,082-02-5393,217-831-1569,Dongola,62926,Midwest,tdvincent,TnIm6v%SV-nK%,Running
305556,Federico,Wilson,M,federico.wilson@yahoo.com,11/16/1974,42.73,58,2000,445-27-4988,210-930-2999,Hart,79043,South,fjwilson,g6~{t%1p8H&*}S,Stop
915507,Kory,Roth,M,kory.roth@bp.com,1/18/1974,43.55,68,2010,386-37-5617,252-364-6018,Buies Creek,27506,South,kxroth,T@GS[s+5DxNs,Stop
761381,Nichole,Lloyd,F,nichole.lloyd@shell.com,4/23/1986,31.28,45,2016,496-29-4801,316-344-7236,Wichita,67217,Midwest,nzlloyd,IR1;qapte2-Q,Running
141022,Rodger,Chavez,M,rodger.chavez@outlook.com,7/10/1981,36.07,89,2005,061-02-4120,209-881-4520,Sacramento,95842,West,rdchavez,EUp3}.Un|,Stop
528086,Bruce,Carney,M,bruce.carney@hotmail.com,2/9/1974,43.49,55,2013,330-11-2949,231-344-7782,Detroit,48288,Midwest,bzcarney,V4j52QV2iz>dL,Running
177821,Derick,Ferrell,M,derick.ferrell@yahoo.co.in,2/7/1975,42.5,79,2008,155-23-2078,215-650-2255,Mc Veytown,17051,Northeast,dnferrell,6-Mq<UaF-3>>h3,Running
740281,Lorna,Henson,F,lorna.henson@outlook.com,6/9/1989,28.15,52,2011,146-23-6275,215-781-4273,Scranton,18510,Northeast,lwhenson,G<wLiPElBi\,Running
906797,Rico,Mayo,M,rico.mayo@gmail.com,6/10/1991,26.15,67,2016,705-18-7358,216-519-9558,Mineral City,44656,Midwest,rkmayo,Wm71-&soe,Running
790008,Luann,Crane,F,luann.crane@gmail.com,3/26/1977,40.37,49,2010,101-02-1834,212-213-3997,Phoenix,13135,Northeast,lrcrane,l%g-ut\Z,Stop
825433,Tara,Goodwin,F,tara.goodwin@shaw.ca,7/23/1968,49.05,60,2007,714-18-9674,215-869-6924,Glenmoore,19343,Northeast,thgoodwin,z?qUF|:F~4F,Running
941759,Shaun,Evans,M,shaun.evans@gmail.com,4/2/1969,48.35,82,1990,115-98-3287,314-659-6901,Kansas City,64108,Midwest,sjevans,sKxrLD&w.d,Running
313864,Debbie,Velez,F,debbie.velez@aol.com,4/13/1963,54.33,59,1996,026-92-8239,303-865-0002,Littleton,80120,West,dsvelez,E&v&Q.Ny:,Stop
978745,May,Hodge,F,may.hodge@hotmail.com,1/22/1975,42.54,56,2015,031-92-9813,314-442-0589,Leslie,63056,Midwest,mrhodge,2G3i7.G_H4a|,Stop
807182,Adeline,Evans,F,adeline.evans@cox.net,8/13/1988,28.98,43,2016,029-92-1928,217-205-4597,Niota,62358,Midwest,arevans,7v_esqyX{jg?,Running
463743,Guy,Gilbert,M,guy.gilbert@gmail.com,9/18/1960,56.9,50,1988,154-23-7518,303-645-5316,Castle Rock,80104,West,gcgilbert,IO!+4~859p2Xcv,Running
901775,Opal,Hansen,F,opal.hansen@hotmail.com,11/1/1977,39.76,41,2017,268-17-1925,802-968-1672,South Ryegate,5069,Northeast,oxhansen,nc$@aPh+Hp#,Running
197867,Robbie,Oconnor,F,robbie.oconnor@bellsouth.net,2/8/1993,24.48,40,2014,659-24-3337,228-458-9001,Pascagoula,39569,South,rcoconnor,k!90tYFm,Stop
423470,Ella,Craft,F,ella.craft@aol.com,2/18/1992,25.46,49,2017,659-24-6888,215-668-2344,Norvelt,15674,Northeast,ewcraft,CJkB^ktT}+,Running
238361,Derrick,Vaughn,M,derrick.vaughn@ibm.com,4/16/1965,52.32,82,1990,641-29-1438,319-530-2214,Ossian,52161,Midwest,dtvaughn,vZmCqW|^ZG?[Y,Running
596366,Maura,Cherry,F,maura.cherry@earthlink.net,5/3/1970,47.27,54,1996,350-08-0605,252-599-2888,Fairfield,27826,South,mwcherry,Q0G!nmu\ph2GO]X,Stop
725424,Roderick,Vinson,M,roderick.vinson@hotmail.com,3/3/1994,23.42,61,2016,516-49-2135,307-616-3182,Encampment,82325,West,rrvinson,8oD;93zl2:h+dL|,Running
229037,Gwen,Gilliam,F,gwen.gilliam@aol.com,1/13/1995,22.55,47,2016,702-18-2141,216-992-9734,Marathon,45145,Midwest,gtgilliam,d7SlFkO*sQ],Stop
434723,Melanie,Zimmerman,F,melanie.zimmerman@aol.com,6/9/1970,47.17,58,1999,325-11-3291,209-629-2789,La Puente,91749,West,mlzimmerman,T|RMM3N\/l,Stop
501422,Micah,Merritt,M,micah.merritt@rediffmail.com,10/25/1983,33.78,82,2006,380-37-8505,209-857-4471,Lyoth,95296,West,mymerritt,1f5n}{nl,Stop
638943,Buford,Hobbs,M,buford.hobbs@msn.com,10/3/1975,41.85,88,2000,652-62-4222,479-893-9574,Success,72470,South,bdhobbs,1%.{TQ@YWtD?P.h,Stop
935745,Kyle,Farmer,M,kyle.farmer@gmail.com,11/20/1974,42.72,70,2015,593-99-9799,314-838-8839,Tebbetts,65080,Midwest,knfarmer,ud{hKtGIB,Running
750581,Jocelyn,Rojas,F,jocelyn.rojas@earthlink.net,2/4/1969,48.51,46,2009,122-98-2107,239-885-4736,Merritt Island,32953,South,jurojas,f$nN:}i#-K,Stop
